date,symbol,open,close,low,high,volume
20190217,Iran.Combine,1045,1005,993,1045,7336501
20190216,Iran.Combine,1061,1045,1031,1070,4004369
20190213,Iran.Combine,1072,1061,1031,1089,5094115
20190212,Iran.Combine,1099,1072,1060,1105,6971095
20190210,Iran.Combine,1070,1099,1071,1116,19058814
20190206,Iran.Combine,1030,1070,982,1081,32083715
20190205,Iran.Combine,1011,1030,1001,1053,9355627
20190204,Iran.Combine,964,1011,984,1012,15299145
20190203,Iran.Combine,1003,964,953,997,8675179
20190202,Iran.Combine,1013,1003,980,1035,3632609
20190130,Iran.Combine,1002,1013,1000,1029,6158947
20190129,Iran.Combine,1018,1002,981,1016,5243133
20190128,Iran.Combine,1019,1018,994,1045,6329838
20190127,Iran.Combine,1035,1019,999,1050,9378097
20190126,Iran.Combine,1032,1035,1020,1050,7417089
20190123,Iran.Combine,1030,1032,1022,1060,4850167
20190122,Iran.Combine,1027,1030,986,1057,12051951
20190121,Iran.Combine,1080,1027,1026,1048,3502798
20190120,Iran.Combine,1081,1080,1051,1118,16026533
20190119,Iran.Combine,1037,1081,1022,1088,31226523
20190116,Iran.Combine,1046,1037,1024,1054,7833224
20190115,Iran.Combine,1067,1046,1023,1085,16564331
20190114,Iran.Combine,1053,1067,1021,1099,34187392
20190113,Iran.Combine,1006,1053,1012,1056,55847088
20190112,Iran.Combine,959,1006,1006,1006,4559348
20190109,Iran.Combine,928,959,926,974,11294471
20190108,Iran.Combine,923,928,920,933,5960868
20190107,Iran.Combine,914,923,907,935,5920562
20190106,Iran.Combine,921,914,901,927,5346233
20190105,Iran.Combine,921,921,911,934,4457409
20190102,Iran.Combine,931,921,910,940,8027087
20190101,Iran.Combine,926,931,914,942,9796603
20181231,Iran.Combine,910,926,904,940,5994032
20181230,Iran.Combine,935,910,898,925,8730717
20181229,Iran.Combine,910,935,920,945,13269034
20181226,Iran.Combine,882,910,877,921,9288962
20181225,Iran.Combine,898,882,868,900,4054353
20181224,Iran.Combine,902,898,870,930,8276883
20181223,Iran.Combine,864,902,862,907,9668832
20181222,Iran.Combine,858,864,855,873,2519763
20181219,Iran.Combine,877,858,851,880,3825452
20181218,Iran.Combine,878,877,860,892,3224310
20181217,Iran.Combine,889,878,853,908,5997052
20181216,Iran.Combine,915,889,878,917,5917379
20181215,Iran.Combine,919,915,900,938,6868805
20181212,Iran.Combine,881,919,881,925,14254090
20181211,Iran.Combine,891,881,867,906,3882525
20181210,Iran.Combine,914,891,880,913,5151243
