<DTYYYYMMDD>,<TICKER>,<OPEN>,<CLOSE>,<LOW>,<HIGH>,<VOL>
20190330,Irka.Part,2019,1971,1919,2030,6294861
20190327,Irka.Part,2083,2019,1979,2140,7915065
20190326,Irka.Part,1985,2083,2030,2084,12233681
20190325,Irka.Part,1916,1985,1880,2011,7983379
20190319,Irka.Part,1934,1916,1893,1941,8923181
20190318,Irka.Part,1931,1934,1880,2020,6248140
20190317,Irka.Part,1855,1931,1890,1947,14152257
20190316,Irka.Part,1778,1855,1753,1866,9567880
20190313,Irka.Part,1744,1778,1701,1830,5447485
20190312,Irka.Part,1735,1744,1689,1780,9289730
20190311,Irka.Part,1669,1735,1690,1752,14684445
20190310,Irka.Part,1598,1669,1601,1677,19437213
20190309,Irka.Part,1603,1598,1580,1628,4816322
20190306,Irka.Part,1624,1603,1591,1628,1611073
20190305,Irka.Part,1619,1624,1600,1660,916646
20190304,Irka.Part,1608,1619,1582,1640,2009107
20190303,Irka.Part,1628,1608,1582,1650,1734310
20190302,Irka.Part,1617,1628,1590,1646,1289762
20190227,Irka.Part,1604,1617,1580,1650,1751782
20190226,Irka.Part,1643,1604,1575,1639,2053206
20190225,Irka.Part,1685,1643,1610,1693,3252261
20190224,Irka.Part,1656,1685,1633,1727,2725423
20190223,Irka.Part,1677,1656,1600,1720,3690480
20190220,Irka.Part,1755,1677,1668,1738,2739340
20190219,Irka.Part,1740,1755,1700,1789,4664985
20190218,Irka.Part,1714,1740,1701,1760,3154705
20190217,Irka.Part,1668,1714,1630,1751,3968043
20190216,Irka.Part,1607,1668,1616,1687,5815288
20190213,Irka.Part,1623,1607,1562,1656,1450861
20190212,Irka.Part,1684,1623,1600,1700,1200199
20190210,Irka.Part,1708,1684,1650,1730,729157
20190206,Irka.Part,1671,1708,1661,1739,2510146
20190205,Irka.Part,1649,1671,1619,1718,1964683
20190204,Irka.Part,1686,1649,1620,1749,1864168
20190203,Irka.Part,1763,1686,1675,1769,1286421
20190202,Irka.Part,1809,1763,1725,1830,1541704
20190130,Irka.Part,1770,1809,1730,1836,6941431
20190129,Irka.Part,1803,1770,1720,1800,3212316
20190128,Irka.Part,1788,1803,1737,1850,3283989
20190127,Irka.Part,1767,1788,1722,1827,2884635
20190126,Irka.Part,1693,1767,1720,1777,7814078
20190123,Irka.Part,1630,1693,1617,1711,2638158
20190122,Irka.Part,1586,1630,1597,1648,1744460
20190121,Irka.Part,1605,1586,1540,1627,2100360
20190120,Irka.Part,1626,1605,1578,1660,2009576
20190119,Irka.Part,1635,1626,1601,1670,774936
20190116,Irka.Part,1635,1635,1625,1649,2378464
20190115,Irka.Part,1630,1635,1620,1658,724940
20190114,Irka.Part,1691,1630,1611,1663,1300705
20190113,Irka.Part,1630,1691,1650,1711,4087168
20190112,Irka.Part,1618,1630,1599,1650,1568407
20190109,Irka.Part,1606,1618,1590,1650,2726709
20190108,Irka.Part,1621,1606,1590,1631,1050279
20190107,Irka.Part,1620,1621,1605,1640,747293
20190106,Irka.Part,1642,1620,1600,1640,1511866
20190105,Irka.Part,1635,1642,1630,1666,681241
20190102,Irka.Part,1625,1635,1614,1669,1081280
20190101,Irka.Part,1657,1625,1610,1650,991972
20181231,Irka.Part,1650,1657,1640,1684,751101
20181230,Irka.Part,1661,1650,1621,1686,953106
20181229,Irka.Part,1669,1661,1635,1685,923915
20181226,Irka.Part,1630,1669,1616,1690,950692
20181225,Irka.Part,1649,1630,1610,1670,468002
20181224,Irka.Part,1641,1649,1626,1680,574552
20181223,Irka.Part,1656,1641,1588,1689,1443043
20181222,Irka.Part,1631,1656,1624,1695,279248
20181219,Irka.Part,1677,1631,1619,1680,570570
20181218,Irka.Part,1747,1677,1660,1733,986212
20181217,Irka.Part,1723,1747,1700,1796,1757410
20181216,Irka.Part,1728,1723,1684,1753,566103
20181215,Irka.Part,1720,1728,1681,1781,1456011
20181212,Irka.Part,1737,1720,1686,1770,1054984
20181211,Irka.Part,1773,1737,1713,1761,884803
20181210,Irka.Part,1791,1773,1705,1820,2993965
20181209,Irka.Part,1811,1791,1721,1890,2288816
20181208,Irka.Part,1725,1811,1801,1811,4803120
20181205,Irka.Part,1666,1725,1650,1749,3681468
20181204,Irka.Part,1672,1666,1630,1700,1094471
20181203,Irka.Part,1650,1672,1600,1700,2722290
20181202,Irka.Part,1620,1650,1570,1675,1026414
20181201,Irka.Part,1699,1620,1615,1700,1230902
20181128,Irka.Part,1783,1699,1694,1783,2136681
20181127,Irka.Part,1790,1783,1750,1849,1030349
20181126,Irka.Part,1879,1790,1786,1900,1973155
20181124,Irka.Part,1795,1879,1830,1884,3635889
20181121,Irka.Part,1724,1795,1721,1810,5514688
20181120,Irka.Part,1763,1724,1693,1796,1982194
20181119,Irka.Part,1751,1763,1703,1800,1636215
20181118,Irka.Part,1751,1751,1700,1800,3750508
20181117,Irka.Part,1756,1751,1713,1780,1795340
20181114,Irka.Part,1776,1756,1737,1800,1263171
20181113,Irka.Part,1814,1776,1750,1840,2308998
20181112,Irka.Part,1758,1814,1775,1840,2884347
20181111,Irka.Part,1780,1758,1702,1792,1833420
20181110,Irka.Part,1773,1780,1739,1824,1662424
20181106,Irka.Part,1790,1773,1750,1830,788102
20181105,Irka.Part,1761,1790,1750,1830,1422882
20181104,Irka.Part,1834,1761,1743,1830,2177973
20181103,Irka.Part,1898,1834,1804,1940,1257316
20181031,Irka.Part,1893,1898,1800,1935,2913247
20181029,Irka.Part,1827,1893,1850,1918,3409757
20181028,Irka.Part,1796,1827,1745,1874,3094104
20181027,Irka.Part,1823,1796,1732,1860,3469022
20181024,Irka.Part,1783,1823,1750,1854,3901006
20181023,Irka.Part,1744,1783,1700,1810,4796296
20181022,Irka.Part,1787,1744,1698,1840,2175031
20181021,Irka.Part,1801,1787,1720,1844,4774203
20181020,Irka.Part,1733,1801,1722,1819,4539521
20181017,Irka.Part,1821,1733,1730,1819,3701489
20181016,Irka.Part,1837,1821,1760,1928,5757898
20181015,Irka.Part,1867,1837,1774,1944,5147186
20181013,Irka.Part,1875,1868,1782,1782,19162
20181010,Irka.Part,1973,1875,1875,1876,479248
20181009,Irka.Part,2021,1973,1920,2057,2668045
20181008,Irka.Part,2127,2021,2021,2021,227379
20181007,Irka.Part,2172,2127,2064,2170,5335977
20181006,Irka.Part,2275,2172,2162,2270,8974506
20181003,Irka.Part,2394,2275,2275,2275,568255
20181002,Irka.Part,2518,2394,2393,2490,1756366
20181001,Irka.Part,2577,2518,2470,2600,1545145
20180930,Irka.Part,2456,2577,2570,2578,633304
20180929,Irka.Part,2350,2456,2370,2467,4059420
20180926,Irka.Part,2240,2350,2311,2352,17436745
20180925,Irka.Part,2134,2240,2240,2240,1519835
20180924,Irka.Part,2110,2134,2005,2215,24220137
20180923,Irka.Part,2179,2110,2071,2250,3859191
20180922,Irka.Part,2077,2179,2133,2180,4258645
20180918,Irka.Part,2007,2077,2017,2107,4337999
20180917,Irka.Part,1999,2007,1950,2065,5894719
20180916,Irka.Part,2055,1999,1983,2087,2455068
20180915,Irka.Part,1958,2055,2038,2055,346703
20180912,Irka.Part,1878,1958,1901,1971,3374607
20180911,Irka.Part,1802,1878,1826,1892,6303288
20180910,Irka.Part,1761,1802,1750,1817,5172737
20180909,Irka.Part,1696,1761,1722,1780,4474067
20180908,Irka.Part,1655,1696,1634,1714,6059202
20180905,Irka.Part,1689,1655,1620,1705,1821122
20180904,Irka.Part,1720,1689,1650,1730,1809217
20180903,Irka.Part,1646,1720,1670,1728,2146479
20180902,Irka.Part,1572,1646,1620,1650,2135099
20180901,Irka.Part,1600,1572,1520,1670,5898851
20180829,Irka.Part,1627,1600,1570,1669,1728741
20180828,Irka.Part,1666,1627,1593,1689,786895
20180827,Irka.Part,1674,1666,1621,1749,656128
20180826,Irka.Part,1624,1674,1631,1704,2136049
20180825,Irka.Part,1547,1624,1624,1624,1345375
20180815,Irka.Part,1489,1547,1500,1563,903546
20180814,Irka.Part,1499,1489,1468,1510,1908053
20180813,Irka.Part,1541,1499,1470,1590,809093
20180812,Irka.Part,1558,1541,1491,1590,1524244
20180811,Irka.Part,1591,1558,1522,1619,644743
20180808,Irka.Part,1646,1591,1564,1697,1343962
20180807,Irka.Part,1635,1646,1573,1689,1968280
20180806,Irka.Part,1654,1635,1572,1720,4286832
20180805,Irka.Part,1731,1654,1645,1739,3393187
20180804,Irka.Part,1756,1731,1669,1800,1492067
20180801,Irka.Part,1747,1756,1677,1817,938057
20180731,Irka.Part,1699,1747,1719,1760,3743957
20180730,Irka.Part,1731,1699,1657,1750,1731980
20180729,Irka.Part,1708,1731,1650,1760,3541950
20180728,Irka.Part,1738,1708,1652,1777,7265296
20180725,Irka.Part,1712,1738,1691,1767,1189526
20180724,Irka.Part,1647,1712,1642,1729,3506332
20180716,Irka.Part,1717,1657,1632,1709,1171520
20180715,Irka.Part,1771,1717,1691,1780,423860
20180714,Irka.Part,1718,1771,1720,1799,2322543
20180711,Irka.Part,1730,1718,1651,1742,2808422
20180710,Irka.Part,1723,1730,1639,1752,1695224
20180708,Irka.Part,1805,1723,1715,1789,470317
20180707,Irka.Part,1770,1805,1721,1830,722781
20180704,Irka.Part,1712,1770,1631,1797,3090271
20180703,Irka.Part,1773,1712,1689,1820,649413
20180702,Irka.Part,1747,1773,1670,1827,2057272
20180701,Irka.Part,1665,1747,1691,1748,2541504
20180630,Irka.Part,1599,1665,1610,1678,779898
20180627,Irka.Part,1634,1599,1570,1620,1843768
20180626,Irka.Part,1713,1634,1628,1685,1285377
20180625,Irka.Part,1776,1713,1688,1786,5700938
20180624,Irka.Part,1773,1776,1690,1858,3964103
20180623,Irka.Part,1814,1773,1724,1869,2174920
20180620,Irka.Part,1907,1814,1812,1845,4361208
20180619,Irka.Part,1943,1907,1845,1942,879858
20180617,Irka.Part,1902,1943,1900,1995,3538110
20180613,Irka.Part,1835,1902,1850,1920,2332716
20180612,Irka.Part,1822,1835,1771,1855,2248387
20180611,Irka.Part,1806,1822,1771,1831,2497821
20180610,Irka.Part,1803,1806,1750,1835,796198
20180609,Irka.Part,1831,1803,1741,1859,534834
20180603,Irka.Part,1845,1831,1778,1860,377626
20180602,Irka.Part,1831,1845,1824,1850,711039
20180530,Irka.Part,1827,1831,1803,1839,1028222
20180529,Irka.Part,1819,1827,1801,1847,538933
20180528,Irka.Part,1764,1819,1800,1847,1158443
20180527,Irka.Part,1780,1764,1721,1815,1266493
20180526,Irka.Part,1825,1780,1750,1841,491107
20180523,Irka.Part,1825,1825,1810,1850,2243358
20180522,Irka.Part,1900,1825,1805,1949,947848
20180521,Irka.Part,1951,1900,1860,1953,1603467
20180520,Irka.Part,1995,1951,1913,2025,2143624
20180519,Irka.Part,1899,1995,1960,2050,1978657
20180515,Irka.Part,1921,1899,1860,1967,1485298
20180514,Irka.Part,1873,1921,1890,1939,1318758
20180513,Irka.Part,1819,1873,1833,1888,1164464
20180512,Irka.Part,1763,1819,1731,1850,481926
20180509,Irka.Part,1851,1763,1759,1820,4285806
20180508,Irka.Part,1811,1851,1824,1895,391353
20180507,Irka.Part,1857,1811,1765,1890,2387732
20180506,Irka.Part,1920,1857,1824,1958,483317
20180505,Irka.Part,2013,1920,1913,1999,711130
20180501,Irka.Part,1993,2013,1976,2040,1882261
20180430,Irka.Part,1956,1993,1940,2035,2286247
20180429,Irka.Part,1909,1956,1920,1998,1463868
20180428,Irka.Part,1949,1909,1852,1970,1892437
20180425,Irka.Part,1920,1949,1865,1990,1344703
20180424,Irka.Part,1833,1920,1875,1924,3603016
20180423,Irka.Part,1746,1833,1833,1833,613383
20180422,Irka.Part,1728,1746,1642,1814,5916420
20180421,Irka.Part,1788,1728,1699,1805,1964641
20180418,Irka.Part,1853,1788,1761,1856,1218904
20180417,Irka.Part,1882,1853,1813,1911,2759113
20180416,Irka.Part,1951,1882,1854,1987,840840
20180415,Irka.Part,2034,1951,1933,2030,1496952
20180411,Irka.Part,2093,2034,1989,2120,1540131
20180410,Irka.Part,1997,2093,2035,2096,6548969
20180409,Irka.Part,2023,1997,1922,2070,4119733
20180408,Irka.Part,2094,2023,1990,2111,3999055
20180407,Irka.Part,2182,2094,2073,2185,6092388
20180404,Irka.Part,2188,2182,2130,2258,2211323
20180403,Irka.Part,2090,2188,2120,2194,4879244
20180328,Irka.Part,1993,2090,2040,2092,9753248
20180327,Irka.Part,1835,1993,1927,2023,4071173
20180319,Irka.Part,1796,1835,1734,1877,1475012
20180317,Irka.Part,1836,1796,1752,1870,1442736
20180314,Irka.Part,1852,1836,1817,1869,5649264
20180313,Irka.Part,1803,1852,1736,1886,2752492
20180312,Irka.Part,1750,1803,1727,1831,1572373
20180311,Irka.Part,1779,1750,1703,1856,2296382
20180310,Irka.Part,1711,1779,1720,1796,4347027
20180307,Irka.Part,1653,1711,1678,1733,4550029
20180306,Irka.Part,1597,1653,1530,1676,5168282
20180305,Irka.Part,1656,1597,1578,1697,3243263
20180304,Irka.Part,1636,1656,1601,1710,2952166
20180303,Irka.Part,1591,1636,1531,1660,4685204
20180228,Irka.Part,1516,1591,1589,1591,10838566
20180227,Irka.Part,1450,1516,1450,1522,1679693
20180226,Irka.Part,1368,1450,1403,1501,6781382
20180214,Irka.Part,1482,1529,1462,1556,11626622
20180213,Irka.Part,1534,1482,1458,1540,7070584
20180212,Irka.Part,1506,1534,1460,1581,7755842
20180210,Irka.Part,1441,1506,1433,1513,8027632
20180207,Irka.Part,1383,1441,1416,1452,15682043
20180206,Irka.Part,1414,1383,1350,1413,3871975
20180205,Irka.Part,1369,1414,1373,1437,6920008
20180204,Irka.Part,1308,1369,1329,1373,3873485
20180203,Irka.Part,1292,1308,1260,1330,2739603
20180131,Irka.Part,1292,1292,1262,1330,3186680
20180130,Irka.Part,1242,1292,1216,1304,7975972
20180129,Irka.Part,1218,1242,1224,1258,3389993
20180128,Irka.Part,1198,1218,1199,1250,3606001
20180127,Irka.Part,1160,1198,1120,1218,5497967
20180124,Irka.Part,1136,1160,1126,1180,2487602
20180123,Irka.Part,1146,1136,1120,1160,1067741
20180122,Irka.Part,1109,1146,1111,1164,3272665
20180121,Irka.Part,1138,1109,1090,1140,600925
20180120,Irka.Part,1102,1138,1105,1144,1740102
20180117,Irka.Part,1091,1102,1079,1127,573523
20180116,Irka.Part,1122,1091,1071,1140,1315032
20180115,Irka.Part,1132,1122,1102,1152,565511
20180114,Irka.Part,1154,1132,1120,1159,1572541
20180113,Irka.Part,1152,1154,1112,1164,1315149
20180110,Irka.Part,1143,1152,1135,1163,1839987
20180109,Irka.Part,1136,1143,1136,1156,2661435
20180108,Irka.Part,1102,1136,1112,1145,1653481
20180107,Irka.Part,1093,1102,1090,1112,668795
20180106,Irka.Part,1089,1093,1080,1116,2263098
20180103,Irka.Part,1076,1089,1052,1107,1672605
20180102,Irka.Part,1089,1076,1052,1099,1626898
20180101,Irka.Part,1047,1089,1030,1099,2158580
20171231,Irka.Part,1099,1047,1045,1075,2974921
20171230,Irka.Part,1110,1099,1057,1112,2143857
20171227,Irka.Part,1134,1110,1090,1147,837538
20171226,Irka.Part,1160,1134,1111,1158,938551
20171225,Irka.Part,1156,1160,1123,1198,1452862
20171224,Irka.Part,1106,1156,1118,1161,4487418
20171223,Irka.Part,1089,1106,1090,1130,2463462
20171220,Irka.Part,1089,1089,1060,1102,2162192
20171219,Irka.Part,1077,1089,1061,1095,1281365
20171218,Irka.Part,1070,1077,1050,1093,1982212
20171217,Irka.Part,1057,1070,1050,1085,697319
20171216,Irka.Part,1065,1057,1032,1086,1321708
20171213,Irka.Part,1070,1065,1040,1093,1601991
20171212,Irka.Part,1085,1070,1050,1096,1507580
20171211,Irka.Part,1066,1085,1047,1109,1769319
20171210,Irka.Part,1065,1066,1051,1084,1000517
20171209,Irka.Part,1040,1065,1040,1079,1968158
20171205,Irka.Part,1035,1040,1025,1058,789616
20171204,Irka.Part,1035,1035,1028,1045,770172
20171203,Irka.Part,1036,1035,1027,1049,891125
20171202,Irka.Part,1040,1036,1027,1049,586582
20171129,Irka.Part,1035,1040,1030,1049,1504429
20171128,Irka.Part,1028,1035,1025,1049,1418726
20171126,Irka.Part,1020,1028,1020,1046,823967
20171125,Irka.Part,1014,1020,1009,1050,1680562
20171122,Irka.Part,1027,1014,1004,1039,1142647
20171121,Irka.Part,1039,1027,1015,1040,704348
20171120,Irka.Part,1033,1039,1031,1050,686049
20171118,Irka.Part,1034,1033,1023,1050,478034
20171115,Irka.Part,1040,1034,1022,1052,742815
20171114,Irka.Part,1045,1040,1025,1061,657607
20171113,Irka.Part,1051,1045,1030,1065,1605503
20171112,Irka.Part,1047,1051,1032,1062,846973
20171111,Irka.Part,1056,1047,1031,1070,738274
20171108,Irka.Part,1072,1056,1039,1067,458051
20171107,Irka.Part,1076,1072,1051,1059,112688
20171106,Irka.Part,1082,1076,1062,1090,383797
20171105,Irka.Part,1071,1082,1052,1099,982502
20171104,Irka.Part,1065,1071,1056,1084,458504
20171101,Irka.Part,1088,1065,1051,1098,861557
20171031,Irka.Part,1057,1088,1039,1109,2515966
20171030,Irka.Part,1021,1057,1017,1072,1618463
20171029,Irka.Part,1013,1021,1007,1030,655546
20171028,Irka.Part,1000,1013,991,1021,631622
20171025,Irka.Part,999,1000,993,1014,440703
20171024,Irka.Part,1008,999,990,1023,745119
20171023,Irka.Part,1039,1008,988,1025,2104548
20171022,Irka.Part,1058,1039,1023,1078,748121
20171021,Irka.Part,1031,1058,1042,1073,927280
20171018,Irka.Part,1044,1031,1023,1065,868868
20171017,Irka.Part,1050,1044,1036,1068,505178
20171016,Irka.Part,1075,1050,1027,1100,972142
20171015,Irka.Part,1063,1075,1060,1100,497049
20171014,Irka.Part,1040,1063,1040,1078,594222
20171011,Irka.Part,1035,1040,1028,1054,311134
20171010,Irka.Part,1045,1035,1024,1077,602215
20171009,Irka.Part,1046,1045,1013,1080,438660
20171008,Irka.Part,1089,1046,1035,1087,1093181
20171007,Irka.Part,1097,1089,1080,1128,551062
20171004,Irka.Part,1108,1097,1080,1138,474834
20171003,Irka.Part,1123,1108,1100,1130,897320
20171002,Irka.Part,1142,1123,1111,1138,983207
20170927,Irka.Part,1136,1142,1133,1161,759134
20170926,Irka.Part,1143,1136,1129,1145,1006655
20170925,Irka.Part,1146,1143,1134,1159,555622
20170924,Irka.Part,1154,1146,1132,1165,793129
20170923,Irka.Part,1170,1154,1141,1183,731772
20170920,Irka.Part,1127,1170,1118,1183,1856190
20170919,Irka.Part,1128,1127,1123,1139,724723
20170918,Irka.Part,1133,1128,1122,1139,475996
20170917,Irka.Part,1126,1133,1115,1154,985663
20170916,Irka.Part,1144,1126,1119,1144,734187
20170913,Irka.Part,1149,1144,1132,1164,581966
20170912,Irka.Part,1126,1149,1117,1160,675465
20170911,Irka.Part,1122,1126,1112,1150,755646
20170910,Irka.Part,1132,1122,1110,1165,1099602
20170906,Irka.Part,1125,1132,1120,1173,400144
20170905,Irka.Part,1140,1125,1083,1185,947788
20170904,Irka.Part,1151,1140,1130,1164,570278
20170903,Irka.Part,1167,1151,1139,1178,951691
20170902,Irka.Part,1217,1167,1157,1210,1453633
20170830,Irka.Part,1235,1217,1176,1295,5196360
20170829,Irka.Part,1177,1235,1235,1235,2446389
20170828,Irka.Part,1130,1177,1148,1186,1303319
20170827,Irka.Part,1135,1130,1120,1154,922754
20170826,Irka.Part,1140,1135,1129,1172,645207
20170823,Irka.Part,1143,1140,1134,1170,366382
20170822,Irka.Part,1146,1143,1136,1160,430603
20170821,Irka.Part,1177,1146,1135,1187,933431
20170820,Irka.Part,1200,1177,1156,1198,517576
20170819,Irka.Part,1195,1200,1161,1230,1088336
20170816,Irka.Part,1156,1195,1144,1210,2648864
20170815,Irka.Part,1112,1156,1113,1167,2301744
20170814,Irka.Part,1106,1112,1095,1140,3041123
20170813,Irka.Part,1122,1106,1083,1121,480965
20170812,Irka.Part,1121,1122,1121,1140,130697
20170809,Irka.Part,1131,1121,1115,1130,399474
20170808,Irka.Part,1138,1131,1124,1150,520304
20170807,Irka.Part,1149,1138,1121,1157,271142
20170806,Irka.Part,1124,1149,1129,1169,1455772
20170802,Irka.Part,1117,1124,1115,1135,673603
20170801,Irka.Part,1124,1117,1111,1148,844008
20170731,Irka.Part,1129,1124,1114,1147,1029287
20170730,Irka.Part,1136,1129,1100,1158,1018960
20170729,Irka.Part,1112,1136,1100,1148,1521849
20170726,Irka.Part,1098,1112,1093,1150,2088527
20170715,Irka.Part,1118,1110,1095,1129,2642744
20170712,Irka.Part,1122,1118,1114,1130,1030788
20170711,Irka.Part,1145,1122,1116,1145,2383059
20170710,Irka.Part,1135,1145,1111,1168,1808978
20170709,Irka.Part,1110,1135,1115,1150,1205922
20170708,Irka.Part,1114,1110,1105,1120,680297
20170705,Irka.Part,1125,1114,1100,1140,1194266
20170704,Irka.Part,1127,1125,1120,1147,636426
20170703,Irka.Part,1139,1127,1116,1147,1484550
20170702,Irka.Part,1142,1139,1129,1150,928010
20170701,Irka.Part,1131,1142,1142,1155,301487
20170628,Irka.Part,1126,1131,1120,1144,241768
20170625,Irka.Part,1134,1126,1111,1149,1222478
20170624,Irka.Part,1137,1134,1104,1150,232178
20170621,Irka.Part,1140,1137,1128,1150,183083
20170620,Irka.Part,1146,1140,1130,1170,882642
20170619,Irka.Part,1135,1146,1130,1165,768721
20170618,Irka.Part,1146,1135,1131,1142,437863
20170617,Irka.Part,1154,1146,1140,1157,293600
20170614,Irka.Part,1142,1154,1140,1183,1908333
20170613,Irka.Part,1125,1142,1110,1181,2581015
20170612,Irka.Part,1133,1125,1096,1149,296572
20170611,Irka.Part,1186,1133,1127,1157,2073085
20170610,Irka.Part,1153,1186,1150,1210,2762840
20170607,Irka.Part,1174,1153,1140,1180,1355409
20170606,Irka.Part,1215,1174,1170,1219,902917
20170603,Irka.Part,1235,1215,1195,1230,965755
20170531,Irka.Part,1245,1235,1220,1259,779810
20170530,Irka.Part,1264,1245,1230,1268,1290002
20170529,Irka.Part,1337,1264,1234,1298,524061
20170521,Irka.Part,1359,1337,1310,1374,327751
20170520,Irka.Part,1297,1359,1319,1361,1997982
20170517,Irka.Part,1273,1297,1276,1310,674604
20170516,Irka.Part,1264,1273,1258,1299,429822
20170515,Irka.Part,1262,1264,1243,1284,639757
20170514,Irka.Part,1284,1262,1258,1278,391479
20170513,Irka.Part,1301,1284,1255,1330,1011123
20170510,Irka.Part,1284,1301,1265,1334,772784
20170509,Irka.Part,1318,1284,1260,1349,1151432
20170508,Irka.Part,1333,1318,1310,1359,700842
20170507,Irka.Part,1339,1333,1291,1361,772359
20170506,Irka.Part,1331,1339,1300,1367,502063
20170503,Irka.Part,1348,1331,1320,1360,1410982
20170502,Irka.Part,1350,1348,1327,1380,628334
20170501,Irka.Part,1400,1350,1330,1427,2293505
20170430,Irka.Part,1430,1400,1390,1460,1245586
20170429,Irka.Part,1444,1430,1410,1485,1478154
20170426,Irka.Part,1435,1444,1400,1496,1216627
20170424,Irka.Part,1381,1435,1340,1450,4856766
20170423,Irka.Part,1437,1381,1366,1438,1914195
20170422,Irka.Part,1380,1437,1400,1449,2286682
20170419,Irka.Part,1410,1380,1350,1428,2146911
20170418,Irka.Part,1430,1410,1359,1460,1647161
20170417,Irka.Part,1447,1430,1421,1460,1760201
20170416,Irka.Part,1482,1447,1421,1492,3058601
20170415,Irka.Part,1420,1482,1400,1491,11332792
20170412,Irka.Part,1447,1420,1390,1440,4219145
20170410,Irka.Part,1425,1447,1382,1495,8554825
20170409,Irka.Part,1358,1425,1425,1425,646876
20170408,Irka.Part,1300,1358,1296,1365,4584036
20170405,Irka.Part,1310,1300,1275,1335,2511197
20170404,Irka.Part,1298,1310,1274,1320,1327621
20170403,Irka.Part,1324,1298,1280,1321,2643721
20170329,Irka.Part,1342,1324,1296,1356,3839563
20170328,Irka.Part,1279,1342,1337,1342,6982320
20170327,Irka.Part,1251,1279,1252,1313,12063385
20170326,Irka.Part,1222,1251,1238,1272,2860745
20170325,Irka.Part,1184,1222,1185,1237,1578667
20170318,Irka.Part,1169,1184,1174,1200,572750
20170315,Irka.Part,1177,1169,1166,1193,443674
20170314,Irka.Part,1184,1177,1169,1198,314650
20170313,Irka.Part,1160,1184,1160,1209,1208323
20170312,Irka.Part,1149,1160,1145,1171,755453
20170311,Irka.Part,1140,1149,1141,1159,421205
20170308,Irka.Part,1146,1140,1137,1145,1168875
20170307,Irka.Part,1148,1146,1140,1169,596399
20170306,Irka.Part,1142,1148,1140,1178,560987
20170305,Irka.Part,1152,1142,1133,1154,2369526
20170304,Irka.Part,1168,1152,1140,1198,1210977
20170301,Irka.Part,1177,1168,1160,1203,1075889
20170228,Irka.Part,1177,1177,1160,1210,1675038
20170227,Irka.Part,1173,1177,1152,1210,1228960
20170226,Irka.Part,1211,1173,1160,1208,624411
20170225,Irka.Part,1247,1211,1195,1240,1081409
20170222,Irka.Part,1202,1247,1220,1262,3036187
20170221,Irka.Part,1183,1202,1180,1225,2351909
20170220,Irka.Part,1146,1183,1141,1200,2137716
20170219,Irka.Part,1175,1146,1132,1174,1242574
20170218,Irka.Part,1146,1175,1140,1194,1056510
20170215,Irka.Part,1139,1146,1133,1161,1156696
20170214,Irka.Part,1159,1139,1130,1184,606430
20170213,Irka.Part,1158,1159,1139,1191,1414730
20170212,Irka.Part,1146,1158,1131,1176,733176
20170211,Irka.Part,1173,1146,1127,1169,1328699
20170208,Irka.Part,1220,1173,1160,1232,1797350
20170207,Irka.Part,1246,1220,1192,1254,1927118
20170206,Irka.Part,1221,1246,1220,1260,1260512
20170205,Irka.Part,1252,1221,1202,1250,712880
20170204,Irka.Part,1301,1252,1236,1299,2736876
20170201,Irka.Part,1265,1301,1205,1328,8701293
20170131,Irka.Part,1248,1265,1220,1303,2698726
20170130,Irka.Part,1203,1248,1210,1263,3696254
20170129,Irka.Part,1148,1203,1179,1205,2160581
20170128,Irka.Part,1178,1148,1132,1199,626657
20170125,Irka.Part,1159,1178,1161,1208,1034316
20170124,Irka.Part,1110,1159,1095,1165,1227693
20170123,Irka.Part,1082,1110,1076,1136,1361531
20170122,Irka.Part,1093,1082,1049,1130,659096
20170121,Irka.Part,1120,1093,1080,1159,527330
20170118,Irka.Part,1128,1120,1080,1148,305935
20170117,Irka.Part,1126,1128,1111,1144,176970
20170116,Irka.Part,1136,1126,1119,1144,426204
20170115,Irka.Part,1126,1136,1112,1159,858738
20170114,Irka.Part,1074,1126,1110,1127,634462
20170111,Irka.Part,1106,1074,1051,1111,1317152
20170109,Irka.Part,1150,1106,1093,1143,1215343
